Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
1417.858941;1435.940351;1436.231683
1384.487666;1411.102769;1413.906368
1116.272645;1135.975166;1137.404786
1403.905412;1427.500143;1429.487659
1343.733817;1365.699855;1366.16776
1373.119075;1390.535006;1390.917166
1255.793142;1333.944292;1334.481069
829.6395621;894.3466341;895.421625
1416.034066;1438.700856;1439.825499
1366.714244;1391.453978;1392.772095
246.0418772;334.6323197;335.4967587
1429.222165;1443.223486;1443.796308
846.3782066;871.7937291;872.2455544
980.605607;1058.678971;1058.223389
1141.877354;1152.230786;1151.75501
137.3083163;147.9220979;149.1026684
1195.591966;1214.183648;1214.11858
1381.044688;1395.565528;1394.306895
984.9777297;1004.248862;1003.388082
1376.463438;1392.278953;1391.268159
1383.749601;1393.584454;1392.160194
1387.276893;1399.977951;1398.264514
1402.031768;1422.619787;1423.654748
1406.640126;1419.738334;1418.607667
1385.96914;1404.990596;1405.750811
1230.657239;1246.152254;1245.748572
1427.64876;1434.923954;1434.228077
1404.429956;1410.767579;1409.943802
1417.823398;1418.709635;1416.411092
1420.491382;1421.551403;1419.174683
1425.392467;1428.066692;1425.733783
1395.554351;1414.171475;1414.623599
1321.922219;1367.299164;1367.633246
1377.410791;1393.87863;1393.664019
1402.289236;1417.713093;1418.188306
1369.561484;1387.7928;1388.34634
1418.777892;1436.035434;1436.80106
1399.632053;1413.143787;1413.585586
1126.269502;1147.369192;1147.983175
1427.673339;1439.897297;1440.676588
1304.204305;1334.46632;1334.466469
1383.233295;1402.921789;1403.402187
1401.511202;1418.245108;1418.6331
1375.668055;1408.649344;1409.736994
1418.149006;1439.921252;1440.664915
1382.479909;1404.24679;1404.989389
1337.98451;1372.292923;1373.116676
1202.19992;1290.766913;1290.927453
1312.679413;1362.748515;1363.474107
1277.814239;1335.91293;1337.001302
1359.671851;1385.56307;1386.500591
1412.191624;1431.917692;1432.031843
1393.150011;1417.086229;1419.473269
1416.759058;1430.289816;1429.993397
1410.83423;1427.303097;1428.591919
1405.643327;1423.398734;1424.427262
1409.594514;1427.295154;1428.344673
1385.53347;1410.088165;1412.883297
1404.50668;1420.116818;1419.912576
1400.532745;1424.030892;1425.261322
1141.252503;1249.874846;1249.513007
1311.735511;1349.162327;1349.486427
1335.840332;1355.889939;1356.965761
1338.072433;1363.638107;1364.607835
0.884677983;1.577896911;1.319947856
430.0058527;454.5004903;454.5893779
1226.495138;1305.81993;1306.386123
1418.438829;1435.134164;1435.859251
1224.584202;1315.632658;1316.34043
1368.413905;1392.359286;1393.499201
1268.452779;1311.067229;1314.225429
1420.321431;1444.440576;1446.462823
1390.513056;1412.423918;1413.587901
1418.976518;1442.908065;1445.073031
1394.644566;1423.96598;1425.822518
1075.41239;1205.905157;1205.899492
793.5706314;863.2643787;861.7353133
1406.992164;1418.303962;1416.830145
1437.977943;1449.82247;1449.365898
1428.718494;1442.629807;1442.948578
1454.126039;1469.523744;1470.384352
1442.659673;1457.441362;1458.073248
1453.993777;1468.698206;1469.487463
1426.640131;1441.776769;1442.427347
1397.730575;1417.293831;1418.941223
1213.913859;1235.307965;1236.949485
1447.567008;1466.912986;1468.236222
1441.722852;1468.313351;1471.059522
1383.260657;1422.045669;1427.247329
1384.914583;1408.065734;1407.475278
1425.764397;1502.876512;1502.459755
1443.542411;1467.271999;1469.912239
1412.395568;1439.267662;1441.351474
1439.027101;1453.809431;1452.643061
1406.349576;1431.393191;1434.125482
1425.098288;1442.240308;1442.274073
714.0284241;728.3408177;728.964427
1442.862854;1458.472859;1458.706499
1044.968149;1137.869872;1137.672001
1436.743082;1457.739377;1458.58732
1434.374956;1458.716717;1460.893555
1431.387982;1458.25971;1460.260224
1219.081621;1253.843873;1258.862422
1421.117436;1449.561525;1451.583503
1441.691688;1462.953062;1464.298395
1421.579006;1446.241243;1447.948992
1436.859898;1457.078505;1458.13332
1444.440779;1469.121619;1471.129461
1435.828842;1450.085699;1450.19469
1438.881461;1460.330097;1461.255539
1339.95286;1372.121891;1372.927298
1157.069004;1189.71139;1190.815431
1380.14879;1403.463029;1404.191588
1453.21983;1476.930582;1478.225888
1255.924201;1285.776766;1286.81678
1191.194717;1259.837255;1260.000996
1334.487505;1373.280008;1373.342546
1428.473647;1456.853278;1458.218553
679.4896859;746.7159015;747.9402034
1053.220257;1073.319865;1073.116958
1409.42234;1424.870743;1425.239167
1396.561582;1413.373236;1414.437176
1411.909015;1422.22705;1423.060692
