Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
2801.997619;2802.625488;2803.144257
2450.137121;2450.748696;2451.26609
2367.059495;2367.686694;2368.211578
2648.086157;2648.027672;2647.976607
2706.96086;2707.028482;2707.076387
2901.80622;2901.909774;2901.997147
2799.231615;2799.15764;2799.093382
2819.678944;2819.590049;2819.514451
2558.100224;2557.949204;2557.822773
2499.503618;2499.430068;2499.367299
2499.734659;2499.629619;2499.544142
2281.388783;2281.225925;2281.08642
2745.268359;2745.36495;2745.443469
2781.523771;2781.454969;2781.397684
2716.707708;2716.660197;2716.618271
2614.657037;2614.474691;2614.319409
2691.839195;2691.708841;2691.598977
2572.694377;2572.560271;2572.447443
2773.313685;2773.1967;2773.097462
2545.924853;2546.165971;2546.359495
2515.816366;2515.779909;2515.745926
2706.681198;2706.575855;2706.482706
2767.558442;2767.388867;2767.245988
2736.367967;2736.407312;2736.436426
2711.64737;2711.065192;2710.585817
2822.315261;2822.434968;2822.528907
2760.507201;2760.189146;2759.920521
2854.403514;2854.169987;2853.977739
2756.776192;2756.548546;2756.35881
2424.036048;2423.35529;2422.789499
2805.701453;2805.813529;2805.903659
2780.812608;2780.560801;2780.348892
1578.557345;1578.984365;1579.330259
1801.37997;1801.390355;1801.394599
2601.326779;2601.085962;2600.889914
2652.856243;2652.679233;2652.529685
1028.334956;1028.439693;1028.516779
1768.184988;1768.245903;1768.29517
2200.291831;2200.396827;2200.477079
2335.567204;2335.426255;2335.30778
2592.148846;2592.2532;2592.331867
2452.478283;2452.237777;2452.040489
2014.296625;2013.584014;2012.98507
2664.414873;2663.952419;2663.564872
2645.404208;2645.165377;2644.965134
2594.073473;2593.577163;2593.158909
2890.030213;2889.617017;2889.274911
2505.667901;2506.101506;2506.446669
2037.754762;2038.392578;2038.91695
2788.055779;2788.4867;2788.845042
2701.044616;2701.202557;2701.334013
2774.716332;2774.675087;2774.640016
2759.914929;2759.719512;2759.561679
2528.779668;2528.670429;2528.572679
2256.209565;2256.044214;2255.905738
2794.388212;2794.264675;2794.159978
2682.22543;2681.846712;2681.530136
2735.121641;2734.75725;2734.450532
2682.060443;2681.766653;2681.520906
2806.354076;2805.700136;2805.154716
2734.37313;2733.092516;2732.025576
2724.873295;2725.123084;2725.323647
2755.191676;2755.698531;2756.076397
2434.179212;2433.543985;2433.014245
2737.308248;2736.85756;2736.48028
2739.214661;2739.591564;2739.901076
2709.10015;2708.448195;2707.90702
2552.834356;2552.858604;2552.870121
2292.394383;2292.256872;2292.140472
2677.416262;2677.364003;2677.31651
2620.180813;2620.503083;2620.761819
2612.675788;2612.47347;2612.303597
2606.292022;2605.753819;2605.303444
2548.519944;2548.074563;2547.699028
2494.627179;2493.217406;2492.045349
2448.852342;2448.40432;2448.02766
2552.555008;2552.266543;2552.025081
2508.82377;2508.458906;2508.153764
2448.69093;2448.483702;2448.308751
2610.442608;2609.980659;2609.595437
2653.756858;2653.748945;2653.745978
2626.98611;2626.91974;2626.856065
2541.348204;2541.349229;2541.34484
2533.202644;2532.961441;2532.756559
2585.174194;2584.997885;2584.848164
2557.459485;2557.123944;2556.841741
2489.035929;2488.790947;2488.583215
2628.015191;2628.180516;2628.311124
2563.974166;2564.083392;2564.171056
2725.742078;2725.460637;2725.225504
2279.958083;2279.848342;2279.748486
1768.894693;1768.991877;1769.071049
2658.320234;2658.273827;2658.228979
