Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
2280.557616;2802.625488;2803.144257
1988.289537;2450.748696;2451.26609
1920.090144;2367.686694;2368.211578
2151.133569;2648.027672;2647.976607
2193.649894;2707.028482;2707.076387
2351.439326;2901.909774;2901.997147
2268.636348;2799.15764;2799.093382
2283.098327;2819.590049;2819.514451
2069.491945;2557.949204;2557.822773
2018.01552;2499.430068;2499.367299
2015.904498;2499.629619;2499.544142
1841.872037;2281.225925;2281.08642
2211.696535;2745.36495;2745.443469
2240.078194;2781.454969;2781.397684
2184.864017;2716.660197;2716.618271
2101.625164;2614.474691;2614.319409
2162.688295;2691.708841;2691.598977
2068.877345;2572.560271;2572.447443
2237.426653;2773.1967;2773.097462
2056.707053;2546.165971;2546.359495
2033.272779;2515.779909;2515.745926
2179.488965;2706.575855;2706.482706
2231.934797;2767.388867;2767.245988
2204.692585;2736.407312;2736.436426
2182.613638;2711.065192;2710.585817
2275.305692;2822.434968;2822.528907
2224.641;2760.189146;2759.920521
2304.47915;2854.169987;2853.977739
2223.524138;2756.548546;2756.35881
1952.235595;2423.35529;2422.789499
2259.018877;2805.813529;2805.903659
2237.464212;2780.560801;2780.348892
1270.080045;1578.984365;1579.330259
1449.304631;1801.390355;1801.394599
2091.633246;2601.085962;2600.889914
2136.772744;2652.679233;2652.529685
827.6589075;1028.439693;1028.516779
1434.678322;1768.245903;1768.29517
1765.625973;2200.396827;2200.477079
1877.614981;2335.426255;2335.30778
2082.805306;2592.2532;2592.331867
1963.176914;2452.237777;2452.040489
1620.597071;2013.584014;2012.98507
2140.566431;2663.952419;2663.564872
2122.188116;2645.165377;2644.965134
2075.881514;2593.577163;2593.158909
2308.405262;2889.617017;2889.274911
2003.626431;2506.101506;2506.446669
1630.998929;2038.392578;2038.91695
2225.960249;2788.4867;2788.845042
2159.958227;2701.202557;2701.334013
2220.135397;2774.675087;2774.640016
2228.379474;2759.719512;2759.561679
2033.106268;2528.670429;2528.572679
1815.666086;2256.044214;2255.905738
2250.888384;2794.264675;2794.159978
2156.970046;2681.846712;2681.530136
2195.507129;2734.75725;2734.450532
2149.715337;2681.766653;2681.520906
2246.838602;2805.700136;2805.154716
2188.971511;2733.092516;2732.025576
2183.64725;2725.123084;2725.323647
2208.533607;2755.698531;2756.076397
1953.329486;2433.543985;2433.014245
2197.551788;2736.85756;2736.48028
2193.974783;2739.591564;2739.901076
2154.012734;2708.448195;2707.90702
2051.313749;2552.858604;2552.870121
1840.321387;2292.256872;2292.140472
2152.085488;2677.364003;2677.31651
2103.864964;2620.503083;2620.761819
2097.724332;2612.47347;2612.303597
2091.78117;2605.753819;2605.303444
2036.663264;2548.074563;2547.699028
1995.604863;2493.217406;2492.045349
1951.247612;2448.40432;2448.02766
2038.790424;2552.266543;2552.025081
2002.137076;2508.458906;2508.153764
1954.010742;2448.483702;2448.308751
2082.74629;2609.980659;2609.595437
2116.816878;2653.748945;2653.745978
2098.606658;2626.91974;2626.856065
2027.92721;2541.349229;2541.34484
2022.096664;2532.961441;2532.756559
2060.648476;2584.997885;2584.848164
2038.808401;2557.123944;2556.841741
1979.73353;2488.790947;2488.583215
2100.565407;2628.180516;2628.311124
2055.032508;2564.083392;2564.171056
2174.599931;2725.460637;2725.225504
1817.878491;2279.848342;2279.748486
1411.987329;1768.991877;1769.071049
2127.374174;2658.273827;2658.228979
