Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
2450.137121;2516.441155;2537.832712
2367.059495;2435.043433;2456.5326
2648.086157;2641.756297;2639.590834
2706.96086;2714.288386;2715.930228
2901.80622;2913.028094;2916.630626
2799.231615;2791.222068;2788.507843
2819.678944;2810.051892;2806.915315
2558.100224;2541.738261;2536.562733
2499.503618;2491.538038;2488.925668
2499.734659;2488.357076;2484.949442
2281.388783;2263.744924;2257.918302
2745.268359;2755.748703;2758.881756
2781.523771;2774.073018;2771.7407
2716.707708;2711.578626;2709.789122
2614.657037;2594.906456;2588.455374
2691.839195;2677.725977;2673.204733
2572.694377;2558.162457;2553.52259
2773.313685;2760.634658;2756.523304
2545.924853;2572.045209;2579.660489
2515.816366;2511.861072;2510.341236
2706.681198;2695.26296;2691.266387
2767.558442;2749.183888;2743.300913
2736.367967;2740.64951;2741.706663
2711.64737;2648.549965;2629.213888
2822.315261;2835.30174;2838.92206
2760.507201;2726.042635;2714.958087
2854.403514;2829.106872;2821.358099
2756.776192;2732.115848;2724.38112
2424.036048;2350.260166;2327.244381
2805.701453;2817.863355;2821.423179
2780.812608;2753.534227;2744.820331
1578.557345;1624.824567;1638.559217
1801.37997;1802.512886;1802.525777
2601.326779;2575.225676;2567.401503
2652.856243;2633.67149;2627.497751
1028.334956;1039.719093;1042.496635
1768.184988;1774.778109;1776.729432
2200.291831;2211.662458;2214.66544
2335.567204;2320.308347;2315.444808
2592.148846;2603.452415;2606.352945
2452.478283;2426.414871;2418.485988
2014.296625;1937.061114;1912.44751
2664.414873;2614.302997;2598.421774
2645.404208;2640.384747;2638.782467
2594.073473;2540.284728;2523.056953
2890.030213;2845.250292;2831.382077
2505.667901;2552.654236;2566.131427
2037.754762;2106.889407;2128.01262
2788.055779;2834.777364;2849.368282
2701.044616;2718.169534;2723.52665
2774.716332;2770.258748;2768.80679
2759.914929;2738.735285;2732.483773
2528.779668;2516.949019;2512.717798
2256.209565;2238.295295;2232.625126
2794.388212;2781.021597;2776.694539
2682.22543;2641.197058;2628.256454
2735.121641;2695.656143;2683.043918
2682.060443;2650.224038;2640.169953
2806.354076;2735.474481;2713.213376
2734.37313;2595.564605;2552.05912
2724.873295;2751.992407;2759.905763
2755.191676;2810.401919;2824.255954
2434.179212;2365.337317;2343.721826
2737.308248;2688.469076;2673.02276
2739.214661;2780.082613;2792.541853
2709.10015;2638.44584;2616.456539
2552.834356;2555.495677;2555.655185
2292.394383;2277.501255;2272.691097
2677.416262;2671.779425;2669.705594
2620.180813;2655.107409;2665.296427
2612.675788;2590.75381;2583.781138
2606.292022;2547.974644;2529.543431
2548.519944;2500.264649;2484.793449
2494.627179;2341.833396;2294.137965
2448.852342;2400.296473;2384.814639
2552.555008;2521.295764;2511.41087
2508.82377;2469.286124;2456.804418
2448.69093;2426.234247;2419.01731
2610.442608;2560.383233;2544.666344
2653.756858;2652.914128;2652.931666
2626.98611;2619.806208;2616.905174
2541.348204;2541.477999;2541.111511
2533.202644;2507.080091;2498.588021
2585.174194;2566.078079;2559.873149
2557.459485;2521.106896;2509.507654
2489.035929;2462.498609;2453.899688
2628.015191;2645.942141;2651.007189
2563.974166;2575.821973;2579.27632
2725.742078;2695.250125;2685.642847
2279.958083;2268.064537;2263.682757
1768.894693;1779.398985;1782.551784
2658.320234;2653.308255;2651.256965
2687.461567;2658.839757;2649.741955
