Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
1147.597336;1402.39348;1390.387257
1158.035718;1415.152496;1403.136501
1158.993384;1412.233718;1400.062271
1146.496345;1407.279691;1408.216052
1148.947964;1372.39512;1370.687939
1137.729843;1392.694563;1390.45141
1160.424039;1435.414666;1436.697152
1129.123762;1395.896965;1397.404461
1143.774876;1415.697876;1418.392222
1145.631289;1416.526669;1417.799612
947.7448478;1165.509072;1167.204198
1158.337539;1442.556768;1445.618893
1108.809058;1345.541118;1343.325138
1120.313737;1385.840982;1386.90432
1155.302484;1432.572709;1433.318888
1152.302978;1418.045227;1421.201878
1136.791523;1409.6747;1411.923394
1145.042085;1415.608181;1417.915455
1115.265103;1361.750022;1363.580149
1138.659422;1294.637744;1288.989249
1149.256996;1371.454953;1371.571111
1120.716826;1335.562335;1336.944666
1125.738132;1386.693288;1389.650707
1151.182129;1423.268042;1422.338154
1145.601884;1433.821793;1444.573261
1152.028262;1426.356585;1424.011183
1146.494551;1433.85181;1439.83115
1147.576371;1422.376274;1426.558592
1152.541136;1429.72422;1433.873718
1140.429963;1431.584289;1444.322358
1151.427614;1423.414162;1421.134488
1134.385595;1411.849457;1416.435765
1128.137146;1251.429586;1241.988562
1107.473006;1348.033598;1347.436588
1092.786312;1355.456121;1359.717892
1110.258369;1373.98882;1377.105254
0.825973633;0.133573139;-1.645707836
385.3842473;447.7711942;446.3059694
1142.215099;1321.923726;1319.015753
1156.729813;1435.702429;1438.219082
1147.705485;1310.796556;1307.768094
1135.757846;1409.568062;1413.809788
1063.288175;1308.450613;1321.710936
1153.246918;1443.139969;1451.774625
1146.610532;1422.778268;1427.131074
1145.901175;1437.112617;1446.463696
1144.235229;1432.565717;1440.084155
1120.013467;1218.69827;1208.989458
768.102572;844.3991917;831.3577993
1145.902787;1413.337976;1404.903861
1162.053264;1448.601419;1445.40182
1167.066426;1461.428656;1462.054567
1165.966154;1461.275427;1464.717942
1163.074005;1455.312643;1457.374143
1170.843413;1468.476949;1471.48089
1159.624193;1442.53508;1444.754898
1156.519233;1427.465646;1434.525156
988.9488511;1248.389927;1255.208186
1163.344004;1463.143898;1468.565648
1165.572843;1474.187327;1486.440698
1138.205526;1440.756623;1464.881297
1139.784765;1402.960836;1398.032305
1156.801876;1494.93744;1485.441263
1174.647593;1475.990103;1487.913615
1169.524352;1460.681255;1469.05217
1158.785311;1435.190082;1427.860863
1163.253633;1449.46357;1461.63627
1157.433511;1444.774138;1444.279992
586.6416533;730.6578137;733.1549421
1161.717646;1454.24289;1455.126533
1015.65481;1142.729234;1135.510996
1166.828633;1461.486599;1465.119611
1164.060576;1469.543065;1479.61742
1159.059765;1457.565996;1465.891895
988.4186201;1269.075042;1295.638565
1155.787311;1448.764148;1457.087196
1165.673878;1465.539379;1470.836444
1153.541254;1452.816515;1459.545161
1162.603712;1464.764605;1468.542917
1165.422715;1472.370292;1480.94318
1167.451657;1467.953349;1467.835772
1150.878714;1436.769711;1437.990355
1117.836163;1379.629258;1379.344795
976.5897747;1193.667879;1197.961177
1148.93139;1439.910559;1443.047741
1157.051815;1457.139572;1463.331179
1025.783372;1281.131798;1285.522745
1080.037037;1264.719601;1260.790306
1152.989869;1401.066356;1398.527788
1152.959782;1445.341254;1450.400749
633.2639065;721.2824074;722.6986511
880.963453;1085.559963;1083.457711
1140.988499;1428.156973;1428.994756
