Valore No ajustados;Valores inv Fijo;Valores inv restringidos
1160.783263;1482.871114;1471.920177
1173.887036;1510.867289;1500.589487
1169.3646;1510.427656;1499.307622
1159.177087;1418.977835;1419.803922
1097.736659;1379.732289;1378.184491
1109.70597;1396.060252;1394.101428
1172.102284;1443.019843;1444.184479
1138.296607;1400.833196;1402.200594
1157.082152;1422.07709;1424.550592
1151.592922;1419.825967;1420.985901
937.4231945;1163.66833;1165.247881
1173.517194;1445.252391;1448.092681
1065.604393;1343.226833;1341.212543
1119.666445;1389.954634;1390.938436
1145.445485;1434.624579;1435.348731
1160.437123;1422.628091;1425.47144
1155.072257;1416.813347;1418.935985
1147.065895;1420.792902;1423.146675
1102.743959;1365.318958;1367.174153
988.8960888;1294.454828;1289.354569
1091.089578;1371.819493;1372.063779
1063.603064;1337.279871;1338.595485
1125.191738;1390.291334;1393.060973
1155.645552;1429.630226;1428.717052
1152.772684;1440.265649;1450.354006
1170.138388;1421.329037;1419.004972
1166.211304;1427.631157;1433.175527
1168.161349;1423.642143;1427.963259
1161.955849;1431.135592;1434.983352
1161.130263;1436.895296;1448.87045
1164.559022;1423.952312;1421.681594
1144.759971;1409.525894;1413.774749
934.4425904;1247.990016;1239.388029
1089.233819;1344.039204;1343.412095
1095.536641;1357.822417;1361.793127
1112.638545;1377.585368;1380.499151
0.359999992;-30.97282121;-32.74408297
360.3520607;477.242179;475.9944824
1031.624463;1326.879265;1324.300845
1172.813808;1445.190173;1447.524566
1013.5748;1320.443085;1317.793086
1145.077962;1414.606072;1418.520891
1034.008101;1314.010743;1326.561401
1173.857675;1443.862037;1451.889986
1174.425961;1378.532996;1382.274135
1161.648523;1405.605207;1414.212682
1158.01321;1418.992428;1425.917019
905.2970877;1234.715292;1225.931348
658.6283061;905.9512981;893.9748637
1148.628569;1492.999795;1485.285686
1176.360997;1503.858186;1501.001983
1191.904566;1491.859485;1492.451216
1189.55;1471.746429;1474.930819
1190.158892;1469.703036;1471.664526
1197.412172;1476.928878;1479.735384
1186.252711;1449.24804;1451.294741
1181.325117;1425.676833;1432.152219
1077.165681;1246.130483;1252.189747
1189.349272;1464.620633;1469.654811
1191.590341;1434.771414;1446.066388
1165.059627;1442.592218;1465.201082
1144.471164;1395.954403;1391.201727
1172.09715;1492.384094;1479.016374
1200.397859;1472.94283;1484.033585
1196.80405;1460.467549;1468.186062
1186.61142;1432.086947;1425.017041
1191.472083;1454.909398;1466.237211
1193.852644;1437.93467;1437.284376
601.5004127;728.0134294;730.278258
1193.666117;1448.325778;1449.007307
870.9163264;1135.844276;1129.196685
1167.176758;1455.210355;1458.599235
1197.139942;1463.499222;1472.821378
1183.668585;1434.122872;1441.754497
1006.85816;1198.256277;1222.956491
1153.91705;1442.694476;1450.486991
1186.685991;1465.925983;1470.884094
1180.682169;1461.584298;1467.830248
1189.365849;1475.410541;1478.906334
1194.335751;1479.0441;1487.016746
1196.902779;1469.38745;1469.1297
1181.988447;1463.836746;1464.953483
1137.890213;1406.408317;1406.05299
973.1106416;1171.975738;1175.802082
1172.150497;1444.779861;1447.600501
1183.315154;1445.560173;1451.184806
1037.57442;1271.571306;1275.514606
1004.068569;1280.756764;1277.117667
1129.080858;1430.455536;1428.119147
1181.619653;1451.365296;1455.993285
545.2629567;694.9657333;696.3127597
881.0840576;1113.245941;1111.308533
1181.779873;1432.525797;1433.149027
