"Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos"
"1445.626266;1380.485492;1380.890374"
"1414.287008;1366.902822;1365.377408"
"1115.616614;1107.461658;1106.743142"
"1421.246907;1409.699815;1408.635345"
"1376.678501;1359.393099;1359.190534"
"1392.043864;1398.782449;1398.653603"
"1267.642653;1324.136429;1325.216589"
"894.3357781;914.956111;915.4311308"
"1420.849184;1401.848903;1401.497709"
"1406.025665;1390.683526;1390.20587"
"246.7330358;321.2449818;321.9926877"
"1472.518979;1447.413791;1447.351171"
"885.902497;875.9629283;876.1885251"
"1003.038288;1061.535532;1063.42255"
"1258.070687;1305.682151;1306.128519"
"0.444524995;-3.518444184;-4.24664223"
"1238.45069;1210.796333;1211.372704"
"1393.429142;1379.673251;1381.078175"
"1007.961921;1008.259157;1009.385262"
"1428.591125;1423.832789;1424.92196"
"1418.646189;1472.47022;1473.625254"
"1420.539849;1409.181398;1410.909923"
"1434.667744;1430.040172;1429.664464"
"1433.29283;1428.854527;1430.087648"
"1414.000239;1415.375989;1415.151059"
"1240.443948;1265.098588;1265.679789"
"1455.72072;1491.385715;1491.936854"
"1436.074003;1484.786833;1485.427935"
"1416.639274;1488.712644;1490.274429"
"1423.358453;1517.088916;1518.04267"
"1427.365849;1516.148354;1517.791075"
"1431.090666;1418.214442;1418.302271"
"1361.183939;1379.856997;1380.509898"
"1376.035414;1396.881489;1397.264795"
"1453.406843;1442.169412;1442.156107"
"1411.487803;1399.799038;1399.791408"
"1434.78188;1420.48789;1420.295656"
"1427.975235;1418.994414;1418.962816"
"1162.40477;1162.444436;1162.414358"
"1455.161331;1443.659216;1443.325574"
"1321.349457;1343.763984;1344.350827"
"1390.738477;1389.086475;1389.13653"
"1431.786971;1434.038086;1434.061106"
"1450.546404;1420.549943;1420.499565"
"1443.840321;1415.368025;1415.224391"
"1433.832369;1419.637093;1419.318865"
"1377.271686;1364.435274;1364.370855"
"1227.681882;1295.801375;1297.379484"
"1353.07895;1371.13487;1371.492369"
"1324.929049;1336.129382;1336.481262"
"1389.17815;1388.543533;1388.349087"
"1438.317257;1429.676579;1430.049442"
"1437.337426;1434.763393;1433.35215"
"1453.159519;1425.577342;1426.217817"
"1453.079028;1430.923593;1430.280295"
"1443.642613;1421.75001;1420.909169"
"1442.362449;1428.961263;1428.540242"
"1451.416855;1430.634184;1428.88366"
"1456.349796;1424.700809;1425.332382"
"1422.922748;1406.674546;1406.242229"
"1168.037015;1255.084194;1257.443909"
"1356.343846;1349.373737;1349.963611"
"1361.020099;1355.857649;1355.447698"
"1378.151203;1375.527044;1375.305457"
"0.448054217;-31.57171231;-31.24313352"
"449.7569115;475.8584685;476.1940534"
"1279.24703;1326.911974;1328.013551"
"1450.782884;1443.760841;1443.561545"
"1256.022421;1320.450741;1321.648764"
"1426.654855;1412.248339;1411.908415"
"1285.281077;1308.080402;1306.337015"
"1462.568194;1439.112326;1438.073467"
"1464.89272;1375.954004;1375.82691"
"1449.789836;1400.814741;1399.747379"
"1448.397108;1414.842141;1414.104261"
"1129.325103;1237.234038;1239.723485"
"823.6280054;910.9667469;913.4427145"
"1436.440412;1496.830182;1498.065142"
"1462.727322;1505.20376;1505.682371"
"1488.546013;1491.329131;1491.366866"
"1479.207197;1469.740809;1469.423717"
"1464.006779;1468.61229;1468.392662"
"1478.626417;1475.267618;1474.959054"
"1457.30775;1447.958277;1447.794703"
"1463.289835;1421.981197;1421.220015"
"1333.25896;1242.457009;1241.928254"
"1477.004311;1461.731705;1461.132699"
"1486.592564;1428.483006;1427.039734"
"1451.087867;1430.637448;1427.300669"
"1426.400529;1397.90555;1399.0072"
"2645.002031;1493.979816;1500.399679"
"1498.029854;1466.920112;1465.3961"
"1494.353259;1451.575439;1450.622798"
"1478.404558;1434.185245;1435.63996"
"1477.752217;1446.695762;1445.130032"
"1486.700156;1446.540562;1447.0358"
"747.125329;730.4537452;730.3221122"
"1485.391867;1457.587061;1457.844937"
"1087.146599;1145.042436;1147.051019"
"1458.032398;1461.700934;1461.45751"
"1497.000244;1465.191054;1464.062807"
"1480.76137;1430.195357;1429.336305"
"1257.195059;1218.416345;1215.216993"
"1446.32684;1438.180975;1437.178329"
"1467.438228;1461.957044;1461.34482"
"1477.306017;1454.821532;1454.052351"
"1486.775466;1471.503185;1471.142327"
"1495.947609;1474.399155;1473.381182"
"1502.551318;1472.275977;1472.630286"
"1472.174923;1443.192851;1443.006301"
"1425.880161;1384.375371;1384.582906"
"1220.930628;1180.766133;1180.737044"
"1474.191922;1455.118044;1455.109818"
"1491.893365;1456.13641;1455.734672"
"1314.38315;1282.695522;1282.624573"
"1256.864023;1284.844721;1286.130405"
"1411.737224;1430.995438;1431.734766"
"1478.70473;1449.273931;1448.898427"
"681.7382014;694.2581435;694.694832"
"1100.20401;1118.31092;1118.856682"
"1474.869448;1434.153633;1434.341787"
"1465.867131;1431.818249;1431.447297"
"1467.334765;1440.207637;1439.85437"
